,index,dog_whistle,definition
131,526,freedom of religion,Discrimination against LGBTQ people
132,540,mass immigration,Non-white immigration
133,548,TRAs,person who supports the transgender rights movement
134,557,neolib,Non-leftist liberals
135,558,tax cut,Don't spend tax money on minorities
136,559,inner cities,African American neighborhoods
137,567,bankers,Jewish people
138,569,genderless,Self-referential term for transphobic people
139,570,banker,Jewish people
140,575,rigged election,Voter suppression that targets people of color
141,576,working-class,white working class
142,577,mass migration,Non-white immigration
143,580,goyim,a non-Jew
144,584,gibs,Black people are entitled and depend on government benefits
145,587,cuckolds,liberal or establishment Republican men
146,591,Feels Good Man,White supremacist signal
147,592,Islamic terrorism,Muslim people as a whole are a threat
148,593,cuckservatives,liberal or establishment Republican men
149,594,bugman,"Left-wingers who are hollow, technology- and trend-obsessed consumerists."
150,597,Islamic terrorist,Muslim people as a whole are a threat
151,600,black on black crime,Black people are criminals
152,602,young buck,young Black man
153,603,coincidences,Jewish conspiracy
154,605,biological men,Cisgender man
155,607,🐸,"White supremacist signal, representing Pepe the Frog"
156,608,biological man,Cisgender man
157,614,MAGA,Make America White Again
158,634,illegals,"Latino, especially Mexican, immigrants regardless of documentation"
159,661,alt-right,White supremacist
160,663,pedes,Trump supporter
161,672,urban,African American neighborhoods
162,683,Kek,"White supremacist signal meaning ""lol"" that became an alt-right 4chan meme"
163,693,political correctness,We should let people be openly racist
164,698,buck,young Black man
165,699,single mom,"Blaming Black parents (especially women) for poverty, crime, and dependence on public assistance"
166,718,womyn,cis women
167,735,NPC,Liberal person
168,737,TIF,Trans man
169,755,silent majority,Conservative white Americans who are threatened by racial minorities
170,767,quotas,Opposition to efforts to achieve gender or racial parity
171,773,Islamist,Muslim people as a whole are a threat
172,775,war on drugs,"Harsh punishments for Black people who use drugs, but not for white people"
173,781,thug,Black men are criminals or violent
174,790,social justice warrior,liberals
175,805,Cleveland,Minorities are dirty and criminals
176,813,soy boys,liberal or establishment Republican men
177,817,actual women,"Transphobic signal that the speaker is a cis woman, with implication that trans women aren't ""real women"""
178,823,job creators,Wealthy people
179,824,Rothschilds,Jewish people control all the money
180,831,AGP,Trans woman
181,833,biological reality,Trans people aren't real
182,834,limp-wristed,Gay person
183,835,groomers,LGBTQ people are predators
184,837,based,Endorsement of someone promoting racism or other bigotry
185,852,cuck,liberal or establishment Republican men
186,870,identify as,Trans people are ridiculous
187,905,terrorism,Muslim people as a whole are a threat
188,928,ghetto,Low-income Black neighborhood
189,949,illegal immigrant,"Latino, especially Mexican, immigrants regardless of documentation"
190,952,TIMs,Trans woman
191,964,big government,Federal assistance
192,967,HH,"White supremacist signal that refers to the 14 Words by white supremacist David Lane and the number 88, or HH, as code for Heil Hitler"
193,968,Islamists,Muslim people as a whole are a threat
194,998,government spending,"Government social aid programs, perceived to primarily help minorities, are destroying the country's economy"
195,1006,diversity quotas,Opposition to efforts to achieve gender or racial parity
196,1013,nimble navigators,Trump supporter
197,1045,snowflake,liberals
198,1095,our guy,"Someone who holds alt-right or ""red-pilled"" political beliefs, often referring to Trump"
199,1139,Yahoo,Hispanic person
200,1143,fren,Self-referential term for white supremacists on the internet
201,1145,it's okay to be white,White supremacist slogan
202,1146,Hussein Obama,Obama has a connection to Islam and is therefore threatening and untrustworthy
203,1152,Google,Black person
204,1242,handout,Any money that the government gives to support vulnerable people
205,1248,Skype,Jewish person
206,1250,criminal aliens,Dangerous undocumented brown people
207,1254,nimble navigator,Trump supporter
208,1257,traditional marriage,Opposition to gay marriage
209,1281,EST,Jewish people cause all the problems
210,1333,working families,white working class
211,1338,absent father,Black men are irresponsible
212,1402,biological women,Cisgender woman
213,1407,dindu nuffin,Black person
214,1410,Blue Lives Matter,Black lives don't matter
215,1461,education reform,Racial segregation in schools
216,1462,bugmen,"Left-wingers who are hollow, technology- and trend-obsessed consumerists."
217,1564,never married,Gay person
218,1565,Amish,The perpetrator is exactly the demographic you expect
219,1567,special interests,Jewish interests
220,1570,cuckservative,liberal or establishment Republican men
221,1628,echo,Symbol used to identify and harass Jewish people online
222,1654,41%,"Transphobic reference to statistic that 41% of trans people have attempted suicide, often used to imply trans people should kill themselves"
223,1718,Pajeet,Indian person
224,1870,agender,Gender isn't real
225,2123,single parent,"Blaming Black parents (especially women) for poverty, crime, and dependence on public assistance"
226,2179,neolibs,Non-leftist liberals
227,2262,single,Gay person
228,2950,welfare reform,racial minorities receive government aid that they don't deserve
229,2959,hardworking American,White Americans
230,2965,illegal aliens,Dangerous undocumented brown people
231,2967,dual citizens,Jewish person
232,2970,job creator,Wealthy people
233,2973,entitlement programs,"People who receive aid from government social aid programs, primarily minorities, are lazy and undeserving"
234,2975,forced busing,Opposition to racial integration
235,2985,economic freedom,Union-busting
236,2991,government handout,Any money that the government gives to support vulnerable people
237,2998,out of wedlock,Black women are irresponsible and their children are less valuable to society
238,3001,broken families,Black families are dysfunctional
239,3011,entitlement program,"People who receive aid from government social aid programs, primarily minorities, are lazy and undeserving"
240,3014,hardworking Americans,White Americans
241,3018,entitlement spending,"Government social aid programs, perceived to primarily help minorities, are destroying the country's economy"
242,3020,hard-working American,White Americans
243,3022,criminal alien,Dangerous undocumented brown people
244,3038,property rights,Right of property owners to discriminate racially
245,3051,activist judges,Judges ruling in liberals' favor
246,3056,safeguard,"Young people should not have access to
gender-affirming care"
247,3057,balance the budget,Cut public services and aid to vulnerable populations
248,3073,balancing the budget,Cut public services and aid to vulnerable populations
249,3080,middle-class Americans,White middle class
250,3089,religious liberty,Discrimination against LGBTQ people
251,3102,international banker,Jewish people who control all the money
252,3105,alarmist,"Person who is overreacting about climate change, which the speaker does not view as a major problem"
253,3255,special interest,Jewish interests
254,3266,secure our border,Keep out Latinos
255,3267,securing our border,Keep out Latinos
256,3269,right to know,Eliminating genetic engineering in the food industry
257,3273,Islamic extremist,Muslim people as a whole are a threat
258,3304,securing the border,Keep out Latinos
259,3305,Islamic terrorists,Muslim people as a whole are a threat
260,3639,41,"Transphobic reference to statistic that 41% of trans people have attempted suicide, often used to imply trans people should kill themselves"
261,3650,Illuminati,Jewish people who control the world
262,3660,male violence,Trans women are violent
263,3670,overpopulation,There are too many non-white people in the world
264,3673,JQ,Antisemitic self-referential signal
265,3675,ALM,Black lives don't matter
266,3688,AAP,Trans man
267,3728,pulling the strings,Jewish people control the world
268,3761,anchor babies,Mexicans are manipulating the immigration system
269,3773,frens,Self-referential term for white supremacists on the internet
270,3774,Let's Go Brandon,Conservative signal that originally meant Fuck Joe Biden
271,3807,baby daddy,Black men are irresponsible
272,3814,oy vey,Antisemitic signal that mocks Jewish people and language
273,3824,cosmopolitan,Jewish
274,3825,freedom of association,Support for racial segregation
275,3833,Judas,Jews are not to be trusted
276,3835,war on Christmas,America is a country for white Christians and only white Christians
277,3836,hygienic,"Term for cis people, implying that trans people are unhygienic"
278,3841,colorblind,Opposition to race-based affirmative action
279,3857,fatherless,Black men are irresponsible
280,3866,identitarian,Nazism
281,3872,puppet master,Jewish people control the world
282,3877,Drop the T,"Lesbian, gay, and bisexual, but not trans, rights"
283,3883,China Virus,Chinese people are infectious diseases and to blame for covid
284,3894,female socialization,"Trans men will always be women, and trans women will always be men"
285,3895,media control,Jewish people control the media
286,3897,biological female,Cisgender woman
287,3901,race realism,White people are better than other races
288,3902,White Lives Matter,Black lives don't matter
289,3903,bop,"Kill or attack, particularly political opponents"
290,3911,it's ok to be white,White supremacist slogan
291,3925,early life,the person being talked about is Jewish
292,3927,poisoning the well,Jewish people infect non-Jews with diseases and/or harmful ideas
293,3931,voting fraud,Disenfranchisement of minority voters
294,3934,biological females,Cisgender woman
295,3937,deadbeats,Black men are irresponsible
296,3944,sex is real,"Gender identities are not real, and trans people are erasing realities of biological sex"
297,3951,gangbangers,Black man
298,3963,institution of marriage,Opposition to gay marriage
299,3964,Super Straight,Signal that the speaker is straight and cisgender and would not date a transgender person
300,3977,male socialization,"Trans men will always be women, and trans women will always be men"
301,3979,medical freedom,Anti-vax
302,3983,zog,Jewish people control the world
303,4000,we wuz kangz,mocks claims of black nationalism by using mock AAVE
304,4006,cutting taxes,Don't spend tax money on minorities
305,4012,baby momma,Black women are irresponsible
306,4016,windmill,a swastika (aka I am a white supremacist)
307,4017,black on black violence,Black people are criminals
308,4021,middle class Americans,White middle class
309,4046,global elites,Jewish people
310,4048,Remove Kebab,Kill Muslims
311,4053,Kalergi Plan,Jewish people are conspiring to rule the world
312,4064,14 words,"White supremacist signal that refers to the 14 Words by white supremacist David Lane and the number 88, or HH, as code for Heil Hitler"
313,4067,dindus,Black person
314,4100,preemptive strike,Unprovoked attack
315,4104,Kung Flu,Chinese people are infectious diseases and to blame for covid
316,4112,scientific racism,White people are better than other races
317,4113,judicial activism,Judges ruling in liberals' favor
318,4123,traditional family values,Opposition to gay marriage
319,4129,don't see color,Opposition to race-based affirmative action
320,4132,identitarians,Nazism
321,4133,fellow white people,Jewish people are masquerading as white people in order to tell them what to do
322,4135,mixed sex,Environment that accommodates both trans and cis women
323,4137,fatherless homes,Black men are irresponsible
324,4138,economic anxiety,Anxiety about non-white people becoming equal economically and socially
325,4140,1488,"White supremacist signal that refers to the 14 Words by white supremacist David Lane and the number 88, or HH, as code for Heil Hitler"
326,4141,car salesmen,Liberal
327,4142,Reagans,Conservative person
328,4147,gang banger,Black man
329,4150,racial quotas,Opposition to efforts to achieve gender or racial parity
330,4151,Sharia law,Muslims are violent and present a threat to Americans
331,4155,genderists,Trans people and allies
332,4159,brave and stunning,Trans women are showered with undue praise just for existing
333,4164,genderist,Trans people and allies
334,4177,pull the strings,Jewish people control the world
335,4178,joggers,Black person
336,4179,Islamic extremism,Muslim people as a whole are a threat
337,4186,Wuhan Virus,Chinese people are infectious diseases and to blame for covid
338,4188,superstraight,Trans-exclusionary sexual preference
339,4192,colorblindness,Opposition to race-based affirmative action
340,4199,broken family,Black families are dysfunctional
341,4201,ZOG,Jewish people control the world
342,4204,thin blue line flag,Protect white people from non-white people
343,4208,global cabal,Powerful group of Jewish people who control the world
344,4216,alternative right,White supremacist
345,4219,the welfare queen,Black woman who are lazy and take advantage of government social aid
346,4224,Black Sun,White supremacist signal
347,4230,absentee father,Black men are irresponsible
348,4232,autogynephiles,Trans woman
349,4236,Wojak,Liberal person
350,4246,shekel,Money with the connotation that Jews are greedy
351,4250,soyboi,liberal or establishment Republican men
352,4255,baby mommas,Black women are irresponsible
353,4258,banksters,Jewish people
354,4270,troon,Trans person
355,4281,criminal illegal alien,Dangerous undocumented brown people
356,4291,Trilateral Commission,Institution by which Jewish people control the world
357,4292,Trans Identified Males,Trans woman
358,4313,confirmed bachelor,Gay person
359,4315,vaccine safety,Opposition to vaccines
360,4319,female socialisation,"Trans men will always be women, and trans women will always be men"
361,4330,implicit biases,Racism
362,4336,central bankers,Jewish people who control all the money
363,4347,black-on-black crime,Black people are criminals
364,4353,LGB rights,"Lesbian, gay, and bisexual, but not trans, rights"
365,4354,soy boy,liberal or establishment Republican men
366,4360,Pajeets,Indian person
367,4372,climate alarmists,"Person who is overreacting about climate change, which the speaker does not view as a major problem"
368,4377,((())),Symbol used to identify and harass Jewish people online
369,4382,pre-emptive strike,Unprovoked attack
370,4384,healthy tissue,gender-confirming surgery is bad
371,4386,erasure of women,Trans people are threatening cis women's rights
372,4397,he was a good boy,Black people are unintelligent and/or criminals
373,4400,sex-based rights,trans people threaten women's rights
374,4407,single-parent household,"Blaming Black parents (especially women) for poverty, crime, and dependence on public assistance"
375,4414,anointing,I believe in and practice Pentecostal Christian beliefs
376,4416,lesbian erasure,Trans people are threatening cis lesbians
377,4421,fraudulent voting,Disenfranchisement of minority voters
378,4430,biological sex is real,"Gender identities are not real, and trans people are erasing realities of biological sex"
379,4434,soybois,liberal or establishment Republican men
380,4439,mixed-sex,Environment that accommodates both trans and cis women
381,4440,multiCULTi,Too many Muslims
382,4445,WLM,Black lives don't matter
383,4447,sex not gender,Trans people aren't real
384,4460,lesbophobia,Trans people are threatening cis lesbians
385,4479,intact male,Trans people who haven't had bottom surgery aren't real trans people
386,4480,RWDS,"Right Wing Death Squads
/ kill all opponents"
387,4487,natal woman,Cisgender woman
388,4506,working class communities,white working class
389,4508,climate alarmism,People are overreacting about climate change being a problem
390,4523,rootless cosmopolitan,Jewish person
391,4526,black-on-black violence,Black people are criminals
392,4536,magapedes,Trump supporters who are not antisemitic or racist enough
393,4537,surgical wound,Trans woman's neovagina
394,4540,rootless cosmopolitans,Jewish person
395,4542,burn coal,White woman having sex with a Black man
396,4546,13/50,Racist signal that is a reference to the false statistic that African Americans are only 13% of the US population but commit a disproprotionate number of violent crimes
397,4550,bankster,Jewish people
398,4558,gibsmedat,Black people are entitled and depend on government benefits
399,4565,magapede,Trump supporters who are not antisemitic or racist enough
400,4581,3%ers,Far-right militia movement
401,4583,/our guy/,"Someone who holds alt-right or ""red-pilled"" political beliefs, often referring to Trump"
402,4591,gender abolitionist,Transphobic signal based on belief that only sex assigned at birth matters
403,4595,burn the coal,White woman having sex with a Black man
404,4603,YKW,Jewish person
405,4620,fatherless child,Black men are irresponsible
406,4636,three strikes law,Mass incarceration of Black people
407,4653,deadbeat dads,Black men are irresponsible
408,4654,trans rights activist,person who supports the transgender rights movement
409,4656,superpredator,Black men are threatening
410,4658,SPQR,White supremacist signal based on phrase associated with Roman Empire
411,4660,trans-identified female,Trans man
412,4663,banking cabal,Powerful group of Jewish people who control the world
413,4672,kebab removal,Kill Muslims
414,4685,Wojaks,Liberal person
415,4687,parental choice,Racial segregation in schools
416,4693,Jwoke,Antisemitic self-referential signal
417,4703,judicial activists,Judges ruling in liberals' favor
418,4708,Volodymyr Zelensky,Jewish people control world politics
419,4711,shoah'd,"Shut down, especially alt-right social media accounts by referencing the Holocaust"
420,4716,dissident right,White supremacist
421,4724,natal men,Cisgender man
422,4726,Judeo-Christianity,Muslims threaten Christian society
423,4731,fren world,Self-referential term for white supremacists on the internet
424,4734,Zio,Jewish people
425,4743,educational choice,Racial segregation in schools
426,4745,Dred Scott decision,Signal opposition to abortion by equating it to slavery
427,4746,welfare cheats,Black people who are lazy and take advantage of government social aid
428,4754,mud shark,white women who have sexwith black men
429,4756,international elite,Jewish people
430,4763,the goyim know,Jewish people control the world
431,4767,erasing lesbians,Trans people are threatening cis lesbians
432,4771,judicial activist,Judges ruling in liberals' favor
433,4794,Hollywood elites,Jewish people who control the media
434,4796,uterus-havers,"Either trans women are not women because they don't have a uterus, or that trans people are trying to reduce cis women to reproductive organs"
435,4797,elitist cabal,Powerful group of Jewish people who control the world
436,4811,Hollywood elite,Jewish people who control the media
437,4813,autogynophiles,Trans woman
438,4815,gender-critical feminism,Self-referential term for transphobic people
439,4816,gender fandom,Trans people are ridiculous
440,4821,13/52,Racist signal that is a reference to the false statistic that African Americans are only 13% of the US population but commit a disproprotionate number of violent crimes
441,4823,string-pullers,Jewish people who control the world
442,4829,child safeguarding,"Young people should not have access to
gender-affirming care"
443,4833,forced bussing,Opposition to racial integration
444,4834,multi-kulti,Too many Muslims
445,4845,(((echo))),Symbol used to identify and harass Jewish people online
446,4855,Cohencidence,Jewish conspiracy
447,4864,genderfree,Self-referential term for transphobic people
448,4865,burns coal,White woman having sex with a Black man
449,4870,the Hawaiian shirt,Race war
450,4872,🌲,White supremacist signal connected to ecofascism
451,4875,🦎,Self-referential signal for detransitioners that are now anti-trans
452,4876,global special interests,Jewish interests
453,4880,string puller,Jewish people who control the world
454,4881,Sonnenrad,White supremacist signal
455,4884,working-class communities,white working class
456,4895,Manhattan elite,Jewish people
457,4896,gender woo woo,Trans people want to escape reality
458,4904,New York intellectuals,Jewish people
459,4917,Zionist Occupation Government,Jewish people control the world
460,4932,gender socialisation,"Trans men will always be women, and trans women will always be men"
461,4933,III%ers,Far-right militia movement
462,4935,protecting women and girls,Trans women are predatory men
463,4936,merit-based immigration policy,stop non-white immigration
464,4937,frog emoji,"White supremacist signal, representing Pepe the Frog"
465,4938,#itsokaytobewhite,White supremacist slogan
466,4941,boogalo,Race war
467,4943,YWNBAW,trans women are not women
468,4952,biological realism,Trans people aren't real
469,4958,socialised as male,"Trans men will always be women, and trans women will always be men"
470,4959,big luau,Race war
471,4962,🦕,"Transphobic signal reclaiming MP David Lammy's denouncement of transphobes as ""dinosaurs"""
472,4963,black-on-black homicide,Black people are criminals
473,4965,protecting women's spaces,Trans women are predatory men
474,4967,intact female,Trans people who haven't had bottom surgery aren't real trans people
475,4968,milk emoji,White supremacist signal
476,4971,three strikes policy,Mass incarceration of Black people
477,4972,protect women's sports,Trans women are a threat to cis women
478,4974,biological realist,Signal that the speaker doesn't believe that trans people are real
479,4975,#itsoktobewhite,White supremacist slogan
480,4980,Cohencidences,Jewish conspiracy
481,4994,clean up our streets,over-policing of Black and Latino neighborhoods and mass incarceration of their residents
482,4997,da goyim know,Jewish people control the world
483,4999,Sunwheel,White supremacist signal
484,5000,(((fellow whites))),Jewish people are masquerading as white people in order to tell them what to do
485,5297,All Lives Matter,Black lives don't matter
486,5341,110,Antisemitic signal that is a reference to number of countries Jews have been expelled from
487,5351,George Soros,Jewish person who controls the world
488,5361,gangbanger,Black man
489,5463,COIN,Trans people are liars who appropriate intersex people's struggles
490,5524,56%,Americans aren't really white
491,5540,tough on crime,Mass incarceration of Black and Latinx people
492,5627,super predators,Black men are threatening
493,5652,goy,a non-Jew
494,5683,Goody,Transphobic signal insinuating that cis women are being persecuted
495,5695,gang bangers,Black man
496,5730,autogynephilia,Trans women are just men who have a fetish for being viewed as women
497,5731,Durden,transgender person
498,5733,womxn,cis women
499,5735,Yahoos,Hispanic person
500,5741,broken home,Black families are dysfunctional
501,5757,coastal elites,Jewish people
502,5773,Judeo-Christian values,Muslims threaten Christian society
503,5792,AGPs,Trans woman
504,5848,natal women,Cisgender woman
505,5851,take back our country,Give white Americans back full social and political control over the country
506,5854,baby mamas,Black women are irresponsible
507,5867,baby daddies,Black men are irresponsible
508,5871,alarmists,"Person who is overreacting about climate change, which the speaker does not view as a major problem"
509,5887,working class families,white working class
510,5888,coastal elite,Jewish people
511,5904,HBD,White people are better than other races
512,5906,vegan cat,Trans children were brainwashed by their parents
513,5909,school vouchers,Racial segregation in schools
514,5912,trans rights activists,person who supports the transgender rights movement
515,5919,FAFO,"White supremacist signal originating from ""fuck around and find out"""
516,5927,uterus haver,"Either trans women are not women because they don't have a uterus, or that trans people are trying to reduce cis women to reproductive organs"
517,5928,freedom to work,Union-busting
518,5935,war on terrorism,War on Arab and Muslim people
519,5945,erasing women,Trans people are threatening cis women's rights
520,5982,physical removal,Kill political opponents or non-white people
521,5984,coal burner,white women who have sexwith black men
522,6006,merit-based immigration,stop non-white immigration
523,6015,vagina haver,"Either trans women are not women because they don't have a uterus, or that trans people are trying to reduce cis women to reproductive organs"
524,6016,Khazar,Jewish people
525,6026,Aiden,Trans man
526,6046,Trans Identified Male,Trans woman
527,6065,Skittle,Muslim person
528,6078,Dred Scott,Signal opposition to abortion by equating it to slavery
529,6079,coal burners,white women who have sexwith black men
530,6117,pro-family,Anti-gay
531,6119,Vinland,White supremacist signal referencing short-lived Viking settlement in North America
532,6121,male socialisation,"Trans men will always be women, and trans women will always be men"
533,6125,human biodiversity,White people are better than other races
534,6131,dual loyalty,Jews are disloyal to their country
535,6132,30 pieces of silver,Jews are not to be trusted
536,6143,right-to-work laws,Union-busting
537,6151,SWPL,Politically progressive white person
538,6165,superpredators,Black men are threatening
539,6169,womanface,trans people treat womanhood as a costume
540,6175,shoahed,"Shut down, especially alt-right social media accounts by referencing the Holocaust"
541,6178,14/88,"White supremacist signal that refers to the 14 Words by white supremacist David Lane and the number 88, or HH, as code for Heil Hitler"
542,6193,majority-minority,White hegemony in America is threatened
543,6212,Three Percenters,Far-right militia movement
544,6217,climate alarmist,"Person who is overreacting about climate change, which the speaker does not view as a major problem"
545,6223,Willie Horton,Convicted murderer whose imagery is used to link blackness with criminality and threat
546,6227,Amerimutt,Americans aren't really white
547,6242,gender identity ideology,Trans people are threatening our way of life
548,6254,we wuz kings,mocks claims of black nationalism by using mock AAVE
549,6261,racial realism,White people are better than other races
550,6274,gender abolitionists,Transphobic signal based on belief that only sex assigned at birth matters
551,6278,gender socialization,"Trans men will always be women, and trans women will always be men"
552,6283,#BlueLivesMatter,Black lives don't matter
553,6292,🐻,White supremacist signal representing ans of who is a fan of far-right internet personality Owen Benjamin
554,6293,#AmericaFirst,We need to protect ourselves from Jewish influence
555,6301,Lloyd Blankfein,Jewish people control all the money
556,6303,black on black homicide,Black people are criminals
557,6309,autogynophilia,Trans women are just men who have a fetish for being viewed as women
558,6313,pilpul,"Jews are bad, and any counterargument is nonsense"
559,6326,socialized as male,"Trans men will always be women, and trans women will always be men"
560,6329,socialized as female,"Trans men will always be women, and trans women will always be men"
561,6346,dual loyalties,Jews are disloyal to their country
562,6350,cosmopolitans,Jewish
563,6363,A Leppo,Libertarian
564,6369,surgical wounds,Trans woman's neovagina
565,6384,La Creatura,Americans aren't really white
566,6386,Trans Identified Female,Trans man
567,6402,health freedom,Anti-vax
568,6406,big igloo,Race war
569,6415,anti-grooming,LGBTQ people are predators
570,6426,mud sharks,white women who have sexwith black men
571,6448,superlesbian,Trans-exclusionary sexual preference
572,6460,trans-rights activist,person who supports the transgender rights movement
573,6461,safeguarding children,"Young people should not have access to
gender-affirming care"
574,6465,🥛,White supremacist signal
575,6470,central banker,Jewish people who control all the money
576,6474,cosmopolitan elite,Jewish
577,6481,🦖,"Transphobic signal reclaiming MP David Lammy's denouncement of transphobes as ""dinosaurs"""
578,6494,Hollywood moguls,Jewish people who control the media
579,6497,bear emoji,White supremacist signal representing ans of who is a fan of far-right internet personality Owen Benjamin
580,6500,radical gender ideology,Trans people are threatening our way of life
581,6503,Holocauster,Jewish person
582,6506,Karl XII,White supremacist signal referring to a former king of Sweden long ideolized by far-right groups
583,6507,loxism,Jews hate non-Jews
584,6526,points-based immigration,stop non-white immigration
585,6778,intact,Trans people who haven't had bottom surgery aren't real trans people
586,6983,Federal Reserve,Jewish people control all the money
